40000
0 1
487 9196 9197
488 1212 1213
489 34346 34347
490 34892 34893
491 57486 57487
492 16946 16947
493 68552 68553
494 40164 40165
495 78534 78535
496 68622 68623
497 49012 49013
498 29094 29095
499 55576 55577
500 57026 57027
501 51348 51349
502 47948 47949
503 17602 17603
504 65342 65343
505 20630 20631
506 61040 61041
507 34632 34633
508 74500 74501
509 67826 67827
510 51218 51219
511 47716 47717
512 17102 17103
513 58664 58665
514 76384 76385
515 41026 41027
516 41016 41017
517 33222 33223
518 50886 50887
519 16260 16261
520 78170 78171
521 64650 64651
522 55298 55299
523 61474 61475
524 19604 19605
525 76702 76703
526 39560 39561
527 20870 20871
528 30438 30439
529 50220 50221
530 74114 74115
531 36706 36707
532 26116 26117
533 78870 78871
534 55838 55839
535 67790 67791
536 8168 8169
537 21916 21917
538 71784 71785
539 57984 57985
540 71260 71261
541 220 221
542 73854 73855
543 61914 61915
544 15912 15913
545 67200 67201
546 79192 79193
547 2954 2955
548 31914 31915
549 13076 13077
550 77400 77401
551 32900 32901
552 79292 79293
553 26660 26661
554 42760 42761
555 66880 66881
556 48334 48335
557 47252 47253
558 38556 38557
559 65800 65801
560 31484 31485
561 19994 19995
562 71186 71187
563 8144 8145
564 71004 71005
565 71446 71447
566 17272 17273
567 69582 69583
568 20420 20421
569 11642 11643
570 29812 29813
571 33908 33909
572 55570 55571
573 60844 60845
574 71586 71587
575 32478 32479
576 67412 67413
577 38504 38505
578 52480 52481
579 78078 78079
580 79154 79155
581 22856 22857
582 70182 70183
583 51880 51881
584 34952 34953
585 3274 3275
586 74812 74813
587 66380 66381
588 2916 2917
589 68574 68575
590 44632 44633
591 60982 60983
592 74690 74691
593 4750 4751
594 36454 36455
595 61126 61127
596 79038 79039
597 73778 73779
598 79236 79237
599 75010 75011
600 68834 68835
601 59040 59041
602 44672 44673
603 22136 22137
604 67164 67165
605 29258 29259
606 62682 62683
607 79134 79135
608 70986 70987
609 35198 35199
610 47894 47895
611 46558 46559
612 41652 41653
613 13248 13249
614 54910 54911
615 28476 28477
616 46250 46251
617 70782 70783
618 39984 39985
619 66436 66437
620 35530 35531
621 8712 8713
622 31354 31355
623 75860 75861
624 70242 70243
625 46042 46043
626 19326 19327
627 74402 74403
628 74184 74185
629 30420 30421
630 55972 55973
631 4404 4405
632 50820 50821
633 20724 20725
634 79212 79213
635 25402 25403
636 69704 69705
637 56680 56681
638 65228 65229
639 18468 18469
640 53696 53697
641 38358 38359
642 76582 76583
643 75352 75353
644 64846 64847
645 24876 24877
646 44806 44807
647 79446 79447
648 44406 44407
649 55130 55131
650 77662 77663
651 46080 46081
652 38594 38595
653 77216 77217
654 54914 54915
655 68808 68809
656 62112 62113
657 65890 65891
658 43930 43931
659 35064 35065
660 60312 60313
661 77436 77437
662 69532 69533
663 58708 58709
664 73400 73401
665 70462 70463
666 54764 54765
667 33364 33365
668 36662 36663
669 17400 17401
670 53850 53851
671 62302 62303
672 4294 4295
673 42684 42685
674 38176 38177
675 76454 76455
676 51242 51243
677 63836 63837
678 25298 25299
679 70864 70865
680 35152 35153
681 79568 79569
682 55756 55757
683 44084 44085
684 52800 52801
685 60122 60123
686 51874 51875
687 55020 55021
688 74848 74849
689 76326 76327
690 982 983
691 49636 49637
692 5226 5227
693 71746 71747
694 7330 7331
695 41780 41781
696 42256 42257
697 18440 18441
698 77604 77605
699 6318 6319
700 48232 48233
701 78454 78455
702 46962 46963
703 5750 5751
704 78438 78439
705 79844 79845
706 62848 62849
707 71980 71981
708 41378 41379
709 64454 64455
710 61540 61541
711 4818 4819
712 9266 9267
713 61160 61161
714 1800 1801
715 46540 46541
716 76178 76179
717 79760 79761
718 51316 51317
719 42462 42463
720 49186 49187
721 78284 78285
722 22838 22839
723 64892 64893
724 77922 77923
725 18586 18587
726 40466 40467
727 44922 44923
728 64636 64637
729 79984 79985
730 76566 76567
731 78324 78325
732 35982 35983
733 78406 78407
734 57318 57319
735 74694 74695
736 60072 60073
737 44776 44777
738 39658 39659
739 32624 32625
740 70152 70153
741 62826 62827
742 68472 68473
743 43142 43143
744 73908 73909
745 79412 79413
746 49552 49553
747 18812 18813
748 71156 71157
749 27540 27541
750 4556 4557
751 52980 52981
752 75032 75033
753 74950 74951
754 77020 77021
755 25852 25853
756 78738 78739
757 76456 76457
758 46656 46657
759 284 285
760 74774 74775
761 58244 58245
762 26870 26871
763 77034 77035
764 76090 76091
765 19916 19917
766 62192 62193
767 51126 51127
768 73802 73803
769 27402 27403
770 74510 74511
771 62896 62897
772 32420 32421
773 45022 45023
774 34866 34867
775 29938 29939
776 76484 76485
777 37768 37769
778 40262 40263
779 77850 77851
780 2914 2915
781 77338 77339
782 53052 53053
783 69020 69021
784 2418 2419
785 77720 77721
786 44482 44483
787 60046 60047
788 30622 30623
789 77992 77993
790 57180 57181
791 67682 67683
792 40944 40945
793 19448 19449
794 40224 40225
795 69894 69895
796 45888 45889
797 75642 75643
798 566 567
799 37212 37213
800 67512 67513
801 79316 79317
802 53870 53871
803 52660 52661
804 31890 31891
805 10742 10743
806 18802 18803
807 11182 11183
808 22604 22605
809 69816 69817
810 78500 78501
811 34600 34601
812 29910 29911
813 55546 55547
814 65828 65829
815 35700 35701
816 59822 59823
817 34722 34723
818 57162 57163
819 30524 30525
820 47334 47335
821 50938 50939
822 8452 8453
823 48128 48129
824 43916 43917
825 53196 53197
826 74002 74003
827 22866 22867
828 72504 72505
829 69918 69919
830 11586 11587
831 16004 16005
832 22384 22385
833 79796 79797
834 58534 58535
835 38510 38511
836 62722 62723
837 34504 34505
838 28212 28213
839 11882 11883
840 78214 78215
841 34064 34065
842 356 357
843 74036 74037
844 56400 56401
845 31792 31793
846 72376 72377
847 53150 53151
848 53056 53057
849 54208 54209
850 60676 60677
851 72270 72271
852 19814 19815
853 26960 26961
854 15794 15795
855 33058 33059
856 71030 71031
857 37922 37923
858 40102 40103
859 26504 26505
860 50238 50239
861 47132 47133
862 51292 51293
863 68972 68973
864 75462 75463
865 62458 62459
866 63106 63107
867 63594 63595
868 78788 78789
869 68414 68415
870 74626 74627
871 41360 41361
872 51690 51691
873 51304 51305
874 66106 66107
875 74160 74161
876 76552 76553
877 54406 54407
878 72096 72097
879 47806 47807
880 75746 75747
881 71622 71623
882 60836 60837
883 58318 58319
884 41968 41969
885 75830 75831
886 77086 77087
887 31556 31557
888 73020 73021
889 58558 58559
890 62558 62559
891 62746 62747
892 74646 74647
893 45998 45999
894 28846 28847
895 46712 46713
896 1220 1221
897 39312 39313
898 66156 66157
899 54586 54587
900 12496 12497
901 40236 40237
902 53748 53749
903 41510 41511
904 14676 14677
905 49646 49647
906 71908 71909
907 77170 77171
908 26494 26495
909 66428 66429
910 65530 65531
911 29164 29165
912 64676 64677
913 31000 31001
914 33806 33807
915 39986 39987
916 74876 74877
917 65354 65355
918 25498 25499
919 37218 37219
920 64428 64429
921 69864 69865
922 76288 76289
923 12360 12361
924 34804 34805
925 37814 37815
926 55032 55033
927 42566 42567
928 47352 47353
929 75576 75577
930 62446 62447
931 49566 49567
932 61792 61793
933 65722 65723
934 72322 72323
935 54900 54901
936 66950 66951
937 68398 68399
938 58692 58693
939 43222 43223
940 54138 54139
941 68128 68129
942 76442 76443
943 61774 61775
944 53592 53593
945 70264 70265
946 34442 34443
947 36072 36073
948 51956 51957
949 39504 39505
950 78970 78971
951 72098 72099
952 39280 39281
953 62976 62977
954 75584 75585
955 29468 29469
956 22600 22601
957 4948 4949
958 39250 39251
959 66990 66991
960 42816 42817
961 76928 76929
962 67394 67395
963 34662 34663
964 72858 72859
965 28560 28561
966 78794 78795
967 69100 69101
968 23804 23805
969 27788 27789
970 29708 29709
971 52490 52491
972 55754 55755
973 38938 38939
974 67338 67339
975 68052 68053
976 78464 78465
977 76698 76699
978 52268 52269
979 73238 73239
980 10136 10137
981 49314 49315
982 42924 42925
983 56980 56981
984 51358 51359
985 15824 15825
986 31162 31163
987 818 819
988 21216 21217
989 60640 60641
990 42880 42881
991 79058 79059
992 37278 37279
993 50380 50381
994 27464 27465
995 14896 14897
996 22216 22217
997 72340 72341
998 61470 61471
999 46638 46639
1000 67430 67431
1001 11266 11267
1002 35340 35341
1003 44384 44385
1004 7504 7505
1005 77250 77251
1006 79854 79855
1007 14726 14727
1008 40482 40483
1009 64322 64323
1010 51802 51803
1011 76000 76001
1012 60924 60925
1013 43822 43823
1014 65942 65943
1015 17542 17543
1016 55790 55791
1017 68986 68987
1018 17330 17331
1019 58344 58345
1020 77894 77895
1021 78598 78599
1022 79022 79023
1023 60020 60021
1024 58080 58081
1025 37698 37699
1026 29414 29415
1027 67920 67921
1028 49122 49123
1029 39894 39895
1030 62612 62613
1031 27156 27157
1032 41306 41307
1033 78444 78445
1034 15796 15797
1035 79880 79881
1036 38824 38825
1037 78562 78563
1038 7742 7743
1039 73426 73427
1040 68906 68907
1041 52052 52053
1042 75194 75195
1043 41586 41587
1044 17260 17261
1045 21416 21417
1046 64744 64745
1047 22034 22035
1048 72350 72351
1049 74496 74497
1050 51168 51169
1051 70974 70975
1052 29328 29329
1053 54254 54255
1054 17780 17781
1055 68826 68827
1056 58056 58057
1057 29344 29345
1058 52062 52063
1059 9414 9415
1060 24948 24949
1061 14730 14731
1062 26520 26521
1063 73618 73619
1064 32684 32685
1065 16478 16479
1066 23236 23237
1067 53066 53067
1068 77746 77747
1069 56396 56397
1070 49104 49105
1071 4050 4051
1072 71072 71073
1073 78440 78441
1074 69922 69923
1075 77168 77169
1076 60284 60285
1077 71232 71233
1078 75660 75661
1079 69160 69161
1080 70616 70617
1081 75958 75959
1082 60826 60827
1083 14814 14815
1084 56156 56157
1085 21118 21119
1086 1194 1195
1087 38256 38257
1088 74612 74613
1089 42872 42873
1090 42248 42249
1091 64792 64793
1092 66128 66129
1093 22832 22833
1094 18716 18717
1095 59914 59915
1096 41582 41583
1097 43798 43799
1098 36528 36529
1099 5122 5123
1100 45792 45793
1101 60438 60439
1102 63802 63803
1103 20586 20587
1104 70336 70337
1105 33942 33943
1106 60018 60019
1107 3542 3543
1108 58164 58165
1109 69080 69081
1110 52082 52083
1111 46346 46347
1112 47180 47181
1113 39464 39465
1114 56452 56453
1115 40144 40145
1116 75288 75289
1117 60756 60757
1118 52374 52375
1119 31832 31833
1120 37214 37215
1121 61352 61353
1122 64596 64597
1123 24398 24399
1124 78476 78477
1125 67274 67275
1126 52004 52005
1127 73430 73431
1128 49718 49719
1129 69626 69627
1130 55206 55207
1131 51176 51177
1132 69250 69251
1133 75380 75381
1134 50912 50913
1135 61702 61703
1136 73302 73303
1137 31708 31709
1138 72318 72319
1139 53374 53375
1140 27522 27523
1141 23856 23857
1142 2630 2631
1143 77226 77227
1144 32956 32957
1145 62104 62105
1146 51608 51609
1147 9288 9289
1148 76298 76299
1149 31134 31135
1150 56306 56307
1151 40132 40133
1152 71394 71395
1153 78182 78183
1154 72184 72185
1155 75236 75237
1156 3978 3979
1157 52568 52569
1158 6016 6017
1159 60200 60201
1160 10026 10027
1161 77442 77443
1162 40090 40091
1163 54432 54433
1164 33340 33341
1165 53128 53129
1166 7614 7615
1167 76164 76165
1168 72134 72135
1169 69208 69209
1170 78368 78369
1171 32852 32853
1172 67392 67393
1173 49602 49603
1174 65886 65887
1175 38436 38437
1176 72428 72429
1177 60866 60867
1178 78790 78791
1179 74540 74541
1180 40534 40535
1181 67454 67455
1182 74576 74577
1183 16998 16999
1184 67458 67459
1185 67160 67161
1186 78646 78647
1187 77148 77149
1188 26122 26123
1189 64576 64577
1190 48808 48809
1191 27316 27317
1192 49982 49983
1193 57258 57259
1194 55146 55147
1195 52456 52457
1196 25692 25693
1197 22086 22087
1198 67738 67739
1199 78072 78073
1200 79460 79461
1201 70962 70963
1202 71410 71411
1203 64774 64775
1204 12914 12915
1205 8834 8835
1206 76602 76603
1207 49238 49239
1208 39034 39035
1209 45158 45159
1210 59630 59631
1211 51430 51431
1212 63602 63603
1213 46938 46939
1214 43844 43845
1215 34272 34273
1216 36188 36189
1217 55368 55369
1218 28978 28979
1219 72264 72265
1220 46452 46453
1221 56346 56347
1222 49132 49133
1223 64364 64365
1224 38868 38869
1225 18898 18899
1226 64590 64591
1227 35574 35575
1228 60546 60547
1229 69808 69809
1230 42482 42483
1231 74442 74443
1232 13874 13875
1233 12588 12589
1234 73264 73265
1235 59020 59021
1236 71024 71025
1237 69334 69335
1238 72300 72301
1239 29032 29033
1240 73538 73539
1241 68680 68681
1242 71884 71885
1243 63558 63559
1244 28512 28513
1245 47486 47487
1246 63448 63449
1247 19964 19965
1248 79692 79693
1249 27236 27237
1250 70110 70111
1251 71934 71935
1252 71648 71649
1253 74416 74417
1254 49176 49177
1255 70606 70607
1256 10998 10999
1257 70032 70033
1258 69814 69815
1259 27584 27585
1260 57174 57175
1261 35284 35285
1262 69580 69581
1263 69984 69985
1264 77964 77965
1265 10932 10933
1266 57012 57013
1267 71302 71303
1268 61856 61857
1269 8426 8427
1270 52856 52857
1271 404 405
1272 74608 74609
1273 37302 37303
1274 1928 1929
1275 40436 40437
1276 63462 63463
1277 74896 74897
1278 62384 62385
1279 9624 9625
1280 24944 24945
1281 45450 45451
1282 68212 68213
1283 28932 28933
1284 48780 48781
1285 63888 63889
1286 55762 55763
1287 32356 32357
1288 77092 77093
1289 57420 57421
1290 57700 57701
1291 73696 73697
1292 69186 69187
1293 4872 4873
1294 74534 74535
1295 62182 62183
1296 30340 30341
1297 58526 58527
1298 54648 54649
1299 67686 67687
1300 77758 77759
1301 79822 79823
1302 63328 63329
1303 67320 67321
1304 47998 47999
1305 73514 73515
1306 74658 74659
1307 22476 22477
1308 46222 46223
1309 61140 61141
1310 50290 50291
1311 42382 42383
1312 56926 56927
1313 57234 57235
1314 34834 34835
1315 52602 52603
1316 20164 20165
1317 27014 27015
1318 19422 19423
1319 24110 24111
1320 74936 74937
1321 69554 69555
1322 40604 40605
1323 73178 73179
1324 68710 68711
1325 454 455
1326 61488 61489
1327 76174 76175
1328 79454 79455
1329 60832 60833
1330 74722 74723
1331 42932 42933
1332 64510 64511
1333 30934 30935
1334 60746 60747
1335 45460 45461
1336 61622 61623
1337 13772 13773
1338 74824 74825
1339 73838 73839
1340 39342 39343
1341 12088 12089
1342 32814 32815
1343 57636 57637
1344 69748 69749
1345 73528 73529
1346 48154 48155
1347 37316 37317
1348 68608 68609
1349 65992 65993
1350 74524 74525
1351 40288 40289
1352 49272 49273
1353 53808 53809
1354 69798 69799
1355 9278 9279
1356 74228 74229
1357 51586 51587
1358 22684 22685
1359 48814 48815
1360 7872 7873
1361 18168 18169
1362 44686 44687
1363 13934 13935
1364 47876 47877
1365 71438 71439
1366 51740 51741
1367 49626 49627
1368 78052 78053
1369 38766 38767
1370 66664 66665
1371 39582 39583
1372 30412 30413
1373 40710 40711
1374 11706 11707
1375 56800 56801
1376 13546 13547
1377 73320 73321
1378 36804 36805
1379 61678 61679
1380 41802 41803
1381 62658 62659
1382 15382 15383
1383 47778 47779
1384 63680 63681
1385 78842 78843
1386 69782 69783
1387 63200 63201
1388 67816 67817
1389 62354 62355
1390 53766 53767
1391 47296 47297
1392 75562 75563
1393 21842 21843
1394 53982 53983
1395 6670 6671
1396 35584 35585
1397 20370 20371
1398 79290 79291
1399 27738 27739
1400 13576 13577
1401 38820 38821
1402 79572 79573
1403 6576 6577
1404 64306 64307
1405 59792 59793
1406 68168 68169
1407 27422 27423
1408 38722 38723
1409 17874 17875
1410 57958 57959
1411 55494 55495
1412 67736 67737
1413 71504 71505
1414 58882 58883
1415 70094 70095
1416 31184 31185
1417 57684 57685
1418 40734 40735
1419 16378 16379
1420 13634 13635
1421 36634 36635
1422 48898 48899
1423 56844 56845
1424 16112 16113
1425 68058 68059
1426 21354 21355
1427 19596 19597
1428 32250 32251
1429 76212 76213
1430 8256 8257
1431 67008 67009
1432 73304 73305
1433 72276 72277
1434 15330 15331
1435 11936 11937
1436 64594 64595
1437 47406 47407
1438 48436 48437
1439 43200 43201
1440 76132 76133
1441 74284 74285
1442 14660 14661
1443 58990 58991
1444 30916 30917
1445 75592 75593
1446 3376 3377
1447 33664 33665
1448 36588 36589
1449 30502 30503
1450 6372 6373
1451 73552 73553
1452 8128 8129
1453 17650 17651
1454 24038 24039
1455 45562 45563
1456 70652 70653
1457 55440 55441
1458 18200 18201
1459 35060 35061
1460 49950 49951
1461 51286 51287
1462 36798 36799
1463 73474 73475
1464 12590 12591
1465 67182 67183
1466 79524 79525
1467 21626 21627
1468 42488 42489
1469 26814 26815
1470 41870 41871
1471 27552 27553
1472 8802 8803
1473 60812 60813
1474 57634 57635
1475 59162 59163
1476 72530 72531
1477 33880 33881
1478 77188 77189
1479 75628 75629
1480 56818 56819
1481 30230 30231
1482 65510 65511
1483 61362 61363
1484 19572 19573
1485 49714 49715
1486 62872 62873
1487 34166 34167
1488 1964 1965
1489 73078 73079
1490 46744 46745
1491 56266 56267
1492 72656 72657
1493 39054 39055
1494 18576 18577
1495 45702 45703
1496 39018 39019
1497 5756 5757
1498 64742 64743
1499 62214 62215
1500 51784 51785
1501 64672 64673
1502 34392 34393
1503 14032 14033
1504 4618 4619
1505 48590 48591
1506 73336 73337
1507 69946 69947
1508 40152 40153
1509 30730 30731
1510 12874 12875
1511 32810 32811
1512 40946 40947
1513 36860 36861
1514 8720 8721
1515 62432 62433
1516 64974 64975
1517 6638 6639
1518 31506 31507
1519 5284 5285
1520 71480 71481
1521 66658 66659
1522 33926 33927
1523 61698 61699
1524 58678 58679
1525 45468 45469
1526 17884 17885
1527 35552 35553
1528 43000 43001
1529 31062 31063
1530 38148 38149
1531 72370 72371
1532 50392 50393
1533 42272 42273
1534 40300 40301
1535 56946 56947
1536 25414 25415
1537 46476 46477
1538 79998 79999
1539 73564 73565
1540 65444 65445
1541 8582 8583
1542 63534 63535
1543 73946 73947
1544 31118 31119
1545 27020 27021
1546 13292 13293
1547 34714 34715
1548 39262 39263
1549 70350 70351
1550 71336 71337
1551 58410 58411
1552 74266 74267
1553 65720 65721
1554 38288 38289
1555 35454 35455
1556 78314 78315
1557 63020 63021
1558 7548 7549
1559 50778 50779
1560 60842 60843
1561 43878 43879
1562 67426 67427
1563 24316 24317
1564 74888 74889
1565 35654 35655
1566 50004 50005
1567 79392 79393
1568 67696 67697
1569 42658 42659
1570 66408 66409
1571 44998 44999
1572 27258 27259
1573 17550 17551
1574 58408 58409
1575 36142 36143
1576 8076 8077
1577 35596 35597
1578 36408 36409
1579 52560 52561
1580 7214 7215
1581 24242 24243
1582 25724 25725
1583 19712 19713
1584 76182 76183
1585 14508 14509
1586 76880 76881
1587 71944 71945
1588 26524 26525
1589 22462 22463
1590 74672 74673
1591 13844 13845
1592 56410 56411
1593 67802 67803
1594 61812 61813
1595 326 327
1596 54886 54887
1597 69328 69329
1598 8996 8997
1599 74136 74137
1600 28092 28093
1601 79518 79519
1602 60158 60159
1603 67982 67983
1604 69224 69225
1605 63940 63941
1606 32400 32401
1607 78740 78741
1608 26566 26567
1609 40680 40681
1610 8072 8073
1611 47728 47729
1612 23188 23189
1613 73032 73033
1614 17236 17237
1615 1416 1417
1616 50280 50281
1617 66660 66661
1618 50010 50011
1619 61910 61911
1620 30570 30571
1621 28700 28701
1622 69674 69675
1623 46402 46403
1624 12098 12099
1625 52250 52251
1626 68644 68645
1627 79770 79771
1628 38772 38773
1629 79104 79105
1630 25356 25357
1631 69126 69127
1632 63054 63055
1633 66958 66959
1634 69442 69443
1635 1498 1499
1636 60398 60399
1637 60246 60247
1638 29326 29327
1639 49288 49289
1640 26616 26617
1641 23964 23965
1642 27278 27279
1643 29142 29143
1644 62488 62489
1645 59224 59225
1646 68074 68075
1647 61660 61661
1648 6728 6729
1649 52074 52075
1650 47020 47021
1651 44760 44761
1652 3654 3655
1653 79348 79349
1654 29790 29791
1655 1756 1757
1656 55616 55617
1657 58918 58919
1658 75320 75321
1659 71432 71433
1660 66778 66779
1661 23132 23133
1662 7518 7519
1663 50490 50491
1664 57942 57943
1665 1140 1141
1666 7362 7363
1667 71502 71503
